Organism	Domain	Group	Plant Pathogen	Plant Associated	ecology
Nocardia-seriolae	Bacteria	Actinobacteria	No	No	Freshwater
Leptothrix-cholodnii	Bacteria	B-proteobacteria	No	No	Freshwater
Paenibacillus-algorifonticola	Bacteria	Firmicutes	No	Yes	Freshwater
Paenibacillus-wulumuqiensis	Bacteria	Firmicutes	No	No	Freshwater
Achlya-hypogyna	Eukaryota	Stramenopiles	No	No	Freshwater
Aphanomyces-astaci	Eukaryota	Stramenopiles	No	No	Freshwater
Aphanomyces-invadans	Eukaryota	Stramenopiles	No	No	Freshwater
Micromonospora-aurantiaca	Bacteria	Actinobacteria	No	Yes	Gut microbe
Entamoeba-invadens	Eukaryota	Amoebozoa	Yes	Yes	Gut microbe
Entamoeba-nuttalli	Eukaryota	Amoebozoa	Yes	Yes	Gut microbe
Aspergillus-bombycis	Fungi	Ascomycota	No	Yes	Gut microbe
Aspergillus-clavatus	Fungi	Ascomycota	No	Yes	Gut microbe
Anaeromyces-robustus	Fungi	Chytridiomycota	No	Yes	Gut microbe
Neocallimastix-californiae	Fungi	Chytridiomycota	No	No	Gut microbe
Piromyces-finnis	Fungi	Chytridiomycota	No	Yes	Gut microbe
Bacillus-intestinalis	Bacteria	Firmicutes	No	No	Gut microbe
Eubacterium-uniforme	Bacteria	Firmicutes	No	Yes	Gut microbe
Eubacterium-xylanophilum	Bacteria	Firmicutes	No	Yes	Gut microbe
Ruminococcus-flavefaciens	Bacteria	Firmicutes	No	Yes	Gut microbe
Chloroflexus-aurantiacus	Bacteria	Chloroflexi	No	No	Hot spring
Chloroflexus-islandicus	Bacteria	Chloroflexi	No	No	Hot spring
Herpetosiphon-geysericola	Bacteria	Chloroflexi	No	No	Hot spring
Roseiflexus-castenholzii	Bacteria	Chloroflexi	No	No	Hot spring
Thiothrix-lacustris	Bacteria	Gammaproteobacteria	No	No	Hot spring
Micromonospora-krabiensis	Bacteria	Actinobacteria	No	No	Marine
Micromonospora-marina	Bacteria	Actinobacteria	No	No	Marine
Micromonospora-yangpuensis	Bacteria	Actinobacteria	No	No	Marine
Nocardia-crassostreae	Bacteria	Actinobacteria	No	Yes	Marine
Streptacidiphilus-jeojiense	Bacteria	Actinobacteria	No	No	Marine
Streptomyces-indicus	Bacteria	Actinobacteria	No	No	Marine
Verrucosispora-maris	Bacteria	Actinobacteria	No	No	Marine
Verrucosispora-sediminis	Bacteria	Actinobacteria	No	No	Marine
Vitrella-brassicaformis	Eukaryota	"Archaeplastida, Haptophyta, Alveolata"	No	No	Marine
Aquimarina-latercula	Bacteria	Bacteroidetes	No	No	Marine
Oscillochloris-trichoides	Bacteria	Chloroflexi	No	No	Marine
Mastigocoleus-testarum	Bacteria	Cyanobacteria	No	No	Marine
Myxosarcina-sp	Bacteria	Cyanobacteria	No	No	Marine
Stanieria-sp	Bacteria	Cyanobacteria	No	Yes	Marine
Bacillus-murimartini	Bacteria	Firmicutes	No	No	Marine
Bacillus-zhangzhouensis	Bacteria	Firmicutes	No	No	Marine
Hahella-chejuensis	Bacteria	Gammaproteobacteria	No	Yes	Marine
Zooshikella-ganghwensis	Bacteria	Gammaproteobacteria	No	No	Marine
Vibrio-ruber	Bacteria	Gammaproteobacteria	No	No	Marine
Vibrio-tritonius	Bacteria	Gammaproteobacteria	No	No	Marine
Chondromyces-apiculatus	Bacteria	Myxobacteria	No	No	Marine
Plesiocystis-pacifica	Bacteria	Myxobacteria	No	No	Marine
Haloferula-sp	Bacteria	Verrucomicrobia	No	No	Marine
Chlorella-variabilis	Eukaryota	"Archaeplastida, Haptophyta, Alveolata"	No	Yes	Photosynthetic eukaryote
Emiliania-huxleyi	Eukaryota	"Archaeplastida, Haptophyta, Alveolata"	No	No	Photosynthetic eukaryote
Gracilariopsis-andersonii	Eukaryota	"Archaeplastida, Haptophyta, Alveolata"	No	Yes	Photosynthetic eukaryote
Ectocarpus-siliculosus	Eukaryota	Stramenopiles	No	Yes	Photosynthetic eukaryote
